guest_id,first_name,last_name,email,phone,loyalty_member,full_name,loyalty_points
5000,Jimmy,Bridges,pcastro@example.org,+1-370-489-0667x7362,True,Jimmy Bridges,433
5001,Joshua,Bennett,zbrooks@example.org,707-577-9317,True,Joshua Bennett,6840
5002,Daniel,Alexander,andrew24@example.com,001-600-795-7219x09719,False,Daniel Alexander,0
5003,Billy,Arnold,loganvargas@example.com,001-327-453-2587x4834,False,Billy Arnold,0
5004,Brian,Waters,justin43@example.net,+1-345-884-4580x538,True,Brian Waters,13752
5005,Ashley,Grimes,charles82@example.com,3225503754,True,Ashley Grimes,19358
5006,Christina,Schmidt,gmills@example.org,001-640-858-9792x3988,False,Christina Schmidt,0
5007,Ryan,Castillo,wattsgregory@example.net,+1-793-860-0523x9051,False,Ryan Castillo,0
5008,Kathy,Lutz,marthaflores@example.org,958-279-5561,False,Kathy Lutz,0
5009,Destiny,Smith,eric51@example.net,932.899.9206x7242,True,Destiny Smith,1722
5010,Susan,Frye,cortega@example.org,(325)876-8960x300,True,Susan Frye,114
5011,Kevin,Johnson,marco25@example.com,404.981.3779,True,Kevin Johnson,19005
5012,Amy,Flores,lisadiaz@example.net,+1-533-553-1020,True,Amy Flores,5223
5013,Sonya,Mckay,christine32@example.net,001-921-772-0054x5520,True,Sonya Mckay,19042
5014,Nathan,Zimmerman,richard87@example.com,001-554-962-0234x4738,True,Nathan Zimmerman,5585
5015,Brian,Huffman,eric91@example.com,(701)604-8417x37560,True,Brian Huffman,10583
5016,Robert,Arnold,brownsarah@example.org,5665200533,False,Robert Arnold,0
5017,Christopher,Mcfarland,joseph89@example.org,3073449749,False,Christopher Mcfarland,0
5018,Jon,Foley,robert83@example.net,+1-463-674-1017,True,Jon Foley,5738
5019,Charlene,Welch,martinnicole@example.com,679.472.1060x18910,False,Charlene Welch,0
5020,Leonard,Smith,jeffrey63@example.net,001-339-433-0271x909,False,Leonard Smith,0
5021,Gerald,Henry,williamselizabeth@example.org,723-331-8348,True,Gerald Henry,404
5022,Mary,Sanchez,shawnpearson@example.org,278-733-0911,False,Mary Sanchez,0
5023,Jimmy,Cain,dclark@example.com,988.518.3831x33552,False,Jimmy Cain,0
5024,Christopher,Taylor,christinesmith@example.net,427.201.8257,False,Christopher Taylor,0
5025,Gloria,Thompson,christopher82@example.org,(208)276-9551,True,Gloria Thompson,16562
5026,Maria,Sandoval,smay@example.com,+1-928-712-1437,False,Maria Sandoval,0
5027,Teresa,Meyer,nathanhaynes@example.net,555-847-4798x4196,True,Teresa Meyer,4980
5028,Steven,Cruz,pmartinez@example.com,001-295-942-8138x5823,False,Steven Cruz,0
5029,Steve,Johnston,npeterson@example.net,001-404-931-9326,False,Steve Johnston,0
5030,David,Heath,dlee@example.com,(982)208-8382x5891,False,David Heath,0
5031,Sonya,Valdez,heather93@example.org,+1-889-854-9654x61074,False,Sonya Valdez,0
